Entity,Year,Fossil by continent
Brazil,2000,1283.607544
Brazil,2001,1324.194702
Brazil,2002,1322.409912
Brazil,2003,1313.606445
Brazil,2004,1383.314575
Brazil,2005,1407.313477
Brazil,2006,1436.215576
Brazil,2007,1494.088257
Brazil,2008,1583.07019
Brazil,2009,1492.970703
Brazil,2010,1708.780273
Brazil,2011,1796.508545
Brazil,2012,1892.375244
Brazil,2013,2038.079346
Brazil,2014,2122.188721
Brazil,2015,2007.343994
Brazil,2016,1860.395142
Brazil,2017,1890.492188
Brazil,2018,1802.84375
Brazil,2019,1797.007568
Brazil,2020,1648.983154
Brazil,2021,1840.248779
Bulgaria,1965,114.0116653
Bulgaria,1966,122.6218796
Bulgaria,1967,143.3616028
Bulgaria,1968,163.0787354
Bulgaria,1969,180.6297913
Bulgaria,1970,202.9950409
Bulgaria,1971,211.5803223
Bulgaria,1972,218.1233673
Bulgaria,1973,225.4741364
Bulgaria,1974,231.2468109
Bulgaria,1975,250.8122711
Bulgaria,1976,258.1125183
Bulgaria,1977,268.9953918
Bulgaria,1978,281.2505188
Bulgaria,1979,290.9273071
Bulgaria,1980,307.5193787
Bulgaria,1981,294.4606628
Bulgaria,1982,299.6149902
Bulgaria,1983,296.5603333
Bulgaria,1984,293.6732178
Bulgaria,1985,293.0044556
Bulgaria,1986,302.5076294
Bulgaria,1987,303.5054626
Bulgaria,1988,301.2068176
Bulgaria,1989,301.9995117
Bulgaria,1990,277.2714233
Bulgaria,1991,217.6486359
Bulgaria,1992,207.3583679
Bulgaria,1993,216.7873535
Bulgaria,1994,204.5699615
Bulgaria,1995,215.8394165
Bulgaria,1996,210.6370239
Bulgaria,1997,197.9713287
Bulgaria,1998,188.9900208
Bulgaria,1999,161.9874573
Bulgaria,2000,157.9714661
Bulgaria,2001,164.4935455
Bulgaria,2002,156.3805084
Bulgaria,2003,170.7196198
Bulgaria,2004,164.7355499
Bulgaria,2005,174.8124695
Bulgaria,2006,177.7316589
Bulgaria,2007,187.2865295
Bulgaria,2008,180.6193695
Bulgaria,2009,151.2435608
Bulgaria,2010,154.2476196
Bulgaria,2011,170.0616913
Bulgaria,2012,155.8984375
Bulgaria,2013,140.0757446
Bulgaria,2014,148.1320953
Bulgaria,2015,158.9345856
Bulgaria,2016,150.6401978
Bulgaria,2017,158.7790222
Bulgaria,2018,149.138382
